"feature_of_interest_cv_num","feature_of_interest_cv_name","feature_of_interest_description"
522,"PENGUINS","GEOGRAPH_LOC"
523,"POSSESSION","GEOGRAPH_LOC"
524,"VICTOR NORTH","GEOGRAPH_LOC"
525,"CONGO-KASAI","GEOGRAPH_LOC"
526,"MONTPELLIER","GEOGRAPH_LOC"
527,"ST. HELENA CHAIN","GEOGRAPH_LOC"
528,"KIMMEI","GEOGRAPH_LOC"
529,"NINTOKU","GEOGRAPH_LOC"
530,"INDEFATIGABLE","GEOGRAPH_LOC"
531,"DHARWAR","GEOGRAPH_LOC"
532,"MALAGUANA-GADAO RIDGE","GEOGRAPH_LOC"
533,"ULM","GEOGRAPH_LOC"
534,"SHORTLANS ISLANDS","GEOGRAPH_LOC"
